Time	Node	Type	Packets	
3	Node14	CacheHits	1
3	Node14	CacheMisses	6
3	Node15	CacheHits	1
3	Node15	CacheMisses	7
3	Node16	CacheHits	0
3	Node16	CacheMisses	5
3	Node17	CacheHits	0
3	Node17	CacheMisses	5
3	Node18	CacheHits	8
3	Node18	CacheMisses	7
3	Node19	CacheHits	2
3	Node19	CacheMisses	4
3	Node20	CacheHits	0
3	Node20	CacheMisses	8
3	Node21	CacheHits	0
3	Node21	CacheMisses	6
3	Node22	CacheHits	0
3	Node22	CacheMisses	4
3	Node23	CacheHits	0
3	Node23	CacheMisses	2
3	Node24	CacheHits	8
3	Node24	CacheMisses	1
3	Producer1	CacheHits	0
3	Producer1	CacheMisses	5
3	F1a	CacheHits	0
3	F1a	CacheMisses	7
3	F1b	CacheHits	0
3	F1b	CacheMisses	5
3	F1c	CacheHits	0
3	F1c	CacheMisses	4
3	F2a	CacheHits	0
3	F2a	CacheMisses	9
3	F2b	CacheHits	0
3	F2b	CacheMisses	3
3	F2c	CacheHits	0
3	F2c	CacheMisses	3
3	F3a	CacheHits	0
3	F3a	CacheMisses	2
3	F3b	CacheHits	0
3	F3b	CacheMisses	5
3	F3c	CacheHits	0
3	F3c	CacheMisses	3
3	F4a	CacheHits	0
3	F4a	CacheMisses	2
3	F4b	CacheHits	0
3	F4b	CacheMisses	3
3	F4c	CacheHits	0
3	F4c	CacheMisses	2
3	F5a	CacheHits	0
3	F5a	CacheMisses	3
3	F5b	CacheHits	0
3	F5b	CacheMisses	1
3	F5c	CacheHits	0
3	F5c	CacheMisses	9
3	Consumer2	CacheHits	0
3	Consumer2	CacheMisses	10
3	Consumer3	CacheHits	0
3	Consumer3	CacheMisses	9
3	Consumer4	CacheHits	0
3	Consumer4	CacheMisses	11
3	Producer2	CacheHits	0
3	Producer2	CacheMisses	4
3	Producer3	CacheHits	0
3	Producer3	CacheMisses	2
3	Producer4	CacheHits	0
3	Producer4	CacheMisses	2
4	Consumer1	CacheHits	0
4	Consumer1	CacheMisses	0
4	Node1	CacheHits	0
4	Node1	CacheMisses	0
4	Node2	CacheHits	0
4	Node2	CacheMisses	0
4	Node3	CacheHits	0
4	Node3	CacheMisses	0
4	Node4	CacheHits	0
4	Node4	CacheMisses	0
4	Node5	CacheHits	0
4	Node5	CacheMisses	0
4	Node6	CacheHits	0
4	Node6	CacheMisses	0
4	Node7	CacheHits	0
4	Node7	CacheMisses	0
4	Node8	CacheHits	0
4	Node8	CacheMisses	0
4	Node9	CacheHits	0
4	Node9	CacheMisses	0
4	Node10	CacheHits	0
4	Node10	CacheMisses	0
4	Node11	CacheHits	0
4	Node11	CacheMisses	0
4	Node12	CacheHits	0
4	Node12	CacheMisses	0
4	Node13	CacheHits	0
4	Node13	CacheMisses	0
4	Node14	CacheHits	0
4	Node14	CacheMisses	0
4	Node15	CacheHits	0
4	Node15	CacheMisses	0
4	Node16	CacheHits	0
4	Node16	CacheMisses	0
4	Node17	CacheHits	0
